reading_id,timestamp,site_id,zone_id,sensor_id,tilt_angle_deg,tilt_rate_deg_hr,crack_width_mm,crack_rate_mm_hr,vibration_ppv_mms,soil_moisture_pct,signal_dbm,sensor_battery_pct,angular_crack_velocity_product,crack_expansion_ratio,moisture_weighted_tilt,hazard_index_H,risk_class
1091,2026-02-15T11:00:00.000Z,raniganj-south-slope,zone-c,PZ-401,0.45,0.09,0,0.17,1.36,27,-69,90,0.024,1.7,0.122,0.113,Normal
1092,2026-02-15T12:00:00.000Z,raniganj-south-slope,zone-b,EX-201,4.01,0.86,6.47,1.11,2.61,65,-84,67,1.041,0.169,2.607,0.578,Critical
1093,2026-02-15T13:00:00.000Z,korba-west-bench,zone-b,SN-101,0.23,0.08,0.76,0.03,1.68,22,-67,61,0.01,0.035,0.051,0.03,Normal
1094,2026-02-15T14:00:00.000Z,jharia-open-pit,zone-a,PZ-401,0.28,0.07,0.87,0.18,0.32,19,-67,87,0.02,0.186,0.053,0.142,Normal
1095,2026-02-15T15:00:00.000Z,singareni-s4,zone-a,EX-201,0,0.01,1.18,0.15,0.51,38,-76,81,0.003,0.117,0,0.067,Normal
1096,2026-02-15T16:00:00.000Z,singareni-s4,zone-c,SN-101,0,0.24,0.71,0,0.82,29,-68,79,0.024,0,0,0.031,Normal
1097,2026-02-15T17:00:00.000Z,singareni-s4,zone-c,TL-301,0.73,0.01,0.89,0.15,0.2,31,-60,71,0.003,0.152,0.226,0.118,Normal
1098,2026-02-15T18:00:00.000Z,raniganj-south-slope,zone-a,SN-101,0.98,0.5,3.79,0.5,2.81,51,-66,66,0.3,0.129,0.5,0.361,Warning
1099,2026-02-15T19:00:00.000Z,korba-west-bench,zone-d,TL-301,0,0.14,0,0.21,0.61,38,-69,63,0.043,2.1,0,0.096,Normal
1100,2026-02-15T20:00:00.000Z,raniganj-south-slope,zone-b,SN-101,0.36,0.06,1.53,0.21,1.33,26,-81,98,0.019,0.129,0.094,0.149,Normal
1101,2026-02-15T21:00:00.000Z,singareni-s4,zone-c,PZ-401,0.75,0.05,0,0.27,0.87,25,-71,93,0.018,2.7,0.188,0.063,Normal
1102,2026-02-15T22:00:00.000Z,jharia-open-pit,zone-a,PZ-401,3.39,0.83,6.74,1.29,3.03,77,-75,63,1.154,0.189,2.61,0.631,Critical
1103,2026-02-15T23:00:00.000Z,singareni-s4,zone-c,SN-101,1.29,0.43,2.66,0.56,1.76,47,-70,79,0.284,0.203,0.606,0.314,Warning
1104,2026-02-16T00:00:00.000Z,singareni-s4,zone-c,SN-101,0.02,0.02,0.18,0.21,0.82,26,-84,65,0.006,0.75,0.005,0.104,Normal
1105,2026-02-16T01:00:00.000Z,jharia-open-pit,zone-d,PZ-401,1.32,0.51,4.41,0.34,1.82,62,-83,65,0.224,0.075,0.818,0.301,Warning
1106,2026-02-16T02:00:00.000Z,korba-west-bench,zone-c,SN-101,1.54,0.68,2.79,0.31,1.8,36,-72,93,0.279,0.107,0.554,0.358,Warning
1107,2026-02-16T03:00:00.000Z,raniganj-south-slope,zone-c,EX-201,0.54,0.22,0.53,0.27,0.34,21,-65,72,0.081,0.429,0.113,0.096,Normal
1108,2026-02-16T04:00:00.000Z,korba-west-bench,zone-a,TL-301,2.14,0.47,3.37,0.43,1,52,-66,72,0.249,0.124,1.113,0.351,Warning
1109,2026-02-16T05:00:00.000Z,korba-west-bench,zone-c,SN-101,0.71,0.08,0.38,0.31,0.72,10,-66,79,0.033,0.646,0.071,0.078,Normal
1110,2026-02-16T06:00:00.000Z,singareni-s4,zone-a,PZ-401,1.11,0.23,1.19,0.02,0.93,23,-77,78,0.028,0.016,0.255,0.132,Normal
1111,2026-02-16T07:00:00.000Z,korba-west-bench,zone-a,TL-301,1.79,0.41,3.38,0.33,2.65,43,-72,98,0.176,0.095,0.77,0.309,Warning
1112,2026-02-16T08:00:00.000Z,raniganj-south-slope,zone-d,PZ-401,2.96,0.74,7.69,1.01,3.33,71,-63,91,0.821,0.13,2.102,0.611,Critical
1113,2026-02-16T09:00:00.000Z,jharia-open-pit,zone-d,EX-201,0.14,0,1.9,0.25,0.6,39,-67,68,0,0.125,0.055,0.088,Normal
1114,2026-02-16T10:00:00.000Z,singareni-s4,zone-d,SN-101,1.69,0.48,4.37,0.45,1.08,49,-71,79,0.264,0.101,0.828,0.329,Warning
1115,2026-02-16T11:00:00.000Z,singareni-s4,zone-b,TL-301,1.43,0.04,0.78,0.07,0.1,17,-64,81,0.007,0.08,0.243,0.151,Normal
1116,2026-02-16T12:00:00.000Z,korba-west-bench,zone-d,SN-101,0.49,0.06,0.85,0.16,0.59,31,-66,67,0.016,0.168,0.152,0.141,Normal
1117,2026-02-16T13:00:00.000Z,korba-west-bench,zone-a,PZ-401,0.89,0.22,0.5,0,0,32,-71,98,0.022,0,0.285,0.088,Normal
1118,2026-02-16T14:00:00.000Z,singareni-s4,zone-a,SN-101,2.25,0.17,3.61,0.47,2.5,51,-75,82,0.097,0.127,1.147,0.328,Warning
1119,2026-02-16T15:00:00.000Z,korba-west-bench,zone-a,PZ-401,1.37,0.44,3.1,0.05,1.85,54,-80,70,0.066,0.016,0.74,0.299,Normal
1120,2026-02-16T16:00:00.000Z,singareni-s4,zone-b,TL-301,2.05,0.38,3.11,0.26,2.25,48,-76,84,0.137,0.081,0.984,0.311,Warning
1121,2026-02-16T17:00:00.000Z,korba-west-bench,zone-c,SN-101,0.71,0.05,1.01,0.32,0.14,30,-80,81,0.021,0.288,0.213,0.08,Normal
1122,2026-02-16T18:00:00.000Z,raniganj-south-slope,zone-b,EX-201,3.11,0.76,7.43,1.32,2.76,71,-62,66,1.079,0.175,2.208,0.555,Critical
1123,2026-02-16T19:00:00.000Z,korba-west-bench,zone-c,TL-301,0.99,0.28,3.12,0.5,1.86,61,-78,69,0.168,0.155,0.604,0.319,Warning
1124,2026-02-16T20:00:00.000Z,jharia-open-pit,zone-c,PZ-401,1.51,0.52,3.6,0.39,0.95,46,-68,95,0.255,0.105,0.695,0.301,Warning
1125,2026-02-16T21:00:00.000Z,jharia-open-pit,zone-b,EX-201,3.28,0.97,6.85,1.35,2.81,73,-80,77,1.407,0.194,2.394,0.591,Critical
1126,2026-02-16T22:00:00.000Z,singareni-s4,zone-c,SN-101,0.46,0.23,1,0.24,0.65,17,-76,86,0.078,0.218,0.078,0.098,Normal
1127,2026-02-16T23:00:00.000Z,jharia-open-pit,zone-b,SN-101,0.82,0,0.84,0.3,0.17,23,-73,95,0,0.319,0.189,0.129,Normal
1128,2026-02-17T00:00:00.000Z,singareni-s4,zone-c,TL-301,0.82,0.1,1.05,0.22,0.62,36,-68,82,0.032,0.191,0.295,0.174,Normal
1129,2026-02-17T01:00:00.000Z,korba-west-bench,zone-d,TL-301,0.75,0,0.25,0.11,1.33,34,-79,73,0,0.314,0.255,0.042,Normal
1130,2026-02-17T02:00:00.000Z,jharia-open-pit,zone-c,PZ-401,0.32,0.18,0,0.21,0.67,27,-74,91,0.056,2.1,0.086,0.084,Normal
1131,2026-02-17T03:00:00.000Z,korba-west-bench,zone-a,PZ-401,0,0.05,1.66,0.14,1.07,28,-79,89,0.012,0.08,0,0.191,Normal
1132,2026-02-17T04:00:00.000Z,jharia-open-pit,zone-d,SN-101,0.54,0.13,0.06,0.16,0.67,44,-77,61,0.034,1,0.238,0.138,Normal
1133,2026-02-17T05:00:00.000Z,jharia-open-pit,zone-b,SN-101,0.8,0.26,3.12,0.47,2.12,63,-65,95,0.148,0.146,0.504,0.196,Normal
1134,2026-02-17T06:00:00.000Z,jharia-open-pit,zone-b,EX-201,3.44,1.02,5.59,1.15,2.79,77,-61,79,1.275,0.202,2.649,0.627,Critical
1135,2026-02-17T07:00:00.000Z,raniganj-south-slope,zone-b,PZ-401,2,0.16,2.23,0.29,1.62,60,-84,68,0.062,0.124,1.2,0.217,Normal
1136,2026-02-17T08:00:00.000Z,korba-west-bench,zone-d,TL-301,1.8,0.35,1.42,0.24,2.39,46,-81,66,0.119,0.158,0.828,0.294,Normal
1137,2026-02-17T09:00:00.000Z,jharia-open-pit,zone-c,EX-201,0.22,0.05,0.54,0.06,0.48,37,-72,65,0.008,0.094,0.081,0.004,Normal
1138,2026-02-17T10:00:00.000Z,jharia-open-pit,zone-b,SN-101,2.08,0.31,4.51,0.27,1.53,45,-80,89,0.115,0.059,0.936,0.313,Warning
1139,2026-02-17T11:00:00.000Z,singareni-s4,zone-d,SN-101,2.08,0.11,2.56,0.75,1.47,59,-70,89,0.093,0.282,1.227,0.341,Warning
1140,2026-02-17T12:00:00.000Z,singareni-s4,zone-b,EX-201,0,0.04,2.47,0.05,0.47,18,-72,90,0.006,0.019,0,0.016,Normal
1141,2026-02-17T13:00:00.000Z,singareni-s4,zone-a,EX-201,0.35,0.01,1.32,0.06,0.54,27,-70,66,0.002,0.042,0.095,0.068,Normal
1142,2026-02-17T14:00:00.000Z,jharia-open-pit,zone-d,EX-201,1.21,0.32,0.33,0.23,0.48,27,-71,80,0.106,0.535,0.327,0.189,Normal
1143,2026-02-17T15:00:00.000Z,raniganj-south-slope,zone-c,SN-101,0.04,0.3,0.02,0.06,0.83,30,-84,81,0.048,0.5,0.012,0.087,Normal
1144,2026-02-17T16:00:00.000Z,korba-west-bench,zone-d,TL-301,0,0,1.35,0.05,0.35,22,-76,91,0,0.034,0,0.064,Normal
1145,2026-02-17T17:00:00.000Z,singareni-s4,zone-c,EX-201,3.87,0.86,8.56,1.26,3.14,66,-71,82,1.17,0.145,2.554,0.709,Critical
1146,2026-02-17T18:00:00.000Z,raniganj-south-slope,zone-a,TL-301,0,0.11,1.16,0,1.18,20,-75,82,0.011,0,0,0.068,Normal
1147,2026-02-17T19:00:00.000Z,korba-west-bench,zone-b,PZ-401,0.68,0.1,1.99,0.07,0.06,32,-71,65,0.017,0.033,0.218,0.132,Normal
1148,2026-02-17T20:00:00.000Z,korba-west-bench,zone-a,SN-101,1.86,0.35,3.99,0.43,1.35,47,-67,89,0.185,0.105,0.874,0.34,Warning
1149,2026-02-17T21:00:00.000Z,raniganj-south-slope,zone-b,EX-201,0.71,0.06,0.99,0.06,0.53,10,-67,93,0.01,0.055,0.071,0.045,Normal
1150,2026-02-17T22:00:00.000Z,jharia-open-pit,zone-a,TL-301,0.51,0,0.75,0.41,0.27,20,-72,62,0,0.482,0.102,0.136,Normal
1151,2026-02-17T23:00:00.000Z,jharia-open-pit,zone-a,SN-101,1.99,0.45,3.73,0.2,0.84,42,-63,94,0.135,0.052,0.836,0.335,Warning
1152,2026-02-18T00:00:00.000Z,jharia-open-pit,zone-d,EX-201,0.78,0.11,0.24,0.4,0.67,15,-85,67,0.055,1.176,0.117,0.183,Normal
1153,2026-02-18T01:00:00.000Z,raniganj-south-slope,zone-d,PZ-401,1.38,0.44,3.64,0.26,2.09,43,-79,64,0.158,0.07,0.593,0.282,Normal
1154,2026-02-18T02:00:00.000Z,jharia-open-pit,zone-c,EX-201,0.9,0.41,4.4,0.22,1.68,35,-83,75,0.131,0.049,0.315,0.262,Normal
1155,2026-02-18T03:00:00.000Z,korba-west-bench,zone-c,EX-201,1.74,0.27,2.58,0.37,2.64,39,-75,96,0.127,0.138,0.679,0.299,Normal
1156,2026-02-18T04:00:00.000Z,singareni-s4,zone-d,SN-101,3.88,0.88,8.28,1.26,3.87,75,-82,65,1.197,0.15,2.91,0.737,Critical
1157,2026-02-18T05:00:00.000Z,korba-west-bench,zone-c,TL-301,3.63,0.93,8.43,1,2.67,74,-84,90,1.023,0.117,2.686,0.673,Critical
1158,2026-02-18T06:00:00.000Z,jharia-open-pit,zone-a,TL-301,0.44,0.23,1.13,0.07,0.47,30,-61,76,0.039,0.057,0.132,0.1,Normal
1159,2026-02-18T07:00:00.000Z,jharia-open-pit,zone-d,TL-301,0.07,0.06,2.31,0.14,0.93,23,-85,74,0.014,0.058,0.016,0.124,Normal
1160,2026-02-18T08:00:00.000Z,jharia-open-pit,zone-a,PZ-401,0,0,0.92,0.06,0.21,28,-85,91,0,0.059,0,0.109,Normal
1161,2026-02-18T09:00:00.000Z,raniganj-south-slope,zone-d,PZ-401,0.15,0.03,1.37,0.13,0.54,30,-83,81,0.007,0.088,0.045,0.145,Normal
1162,2026-02-18T10:00:00.000Z,jharia-open-pit,zone-b,SN-101,1.23,0.28,0.89,0.12,1.31,27,-71,96,0.062,0.121,0.332,0.126,Normal
1163,2026-02-18T11:00:00.000Z,korba-west-bench,zone-d,SN-101,0,0.02,0.68,0,0,15,-82,71,0.002,0,0,0.028,Normal
1164,2026-02-18T12:00:00.000Z,jharia-open-pit,zone-b,EX-201,0.36,0.16,0,0.03,0.74,24,-69,99,0.021,0.3,0.086,0.035,Normal
1165,2026-02-18T13:00:00.000Z,jharia-open-pit,zone-b,EX-201,0.69,0.19,0.93,0.11,0.66,17,-70,88,0.04,0.107,0.117,0.172,Normal
1166,2026-02-18T14:00:00.000Z,singareni-s4,zone-a,TL-301,0.25,0.44,0.44,0,0.09,27,-73,91,0.044,0,0.068,0.035,Normal
1167,2026-02-18T15:00:00.000Z,raniganj-south-slope,zone-c,SN-101,0.42,0.04,1.4,0,0.55,10,-82,87,0.004,0,0.042,0.027,Normal
1168,2026-02-18T16:00:00.000Z,raniganj-south-slope,zone-c,TL-301,0.81,0.01,0,0.06,0.78,25,-80,99,0.002,0.6,0.203,0.055,Normal
1169,2026-02-18T17:00:00.000Z,raniganj-south-slope,zone-b,EX-201,0,0.18,1.41,0.28,0.55,37,-77,82,0.068,0.185,0,0.128,Normal
1170,2026-02-18T18:00:00.000Z,singareni-s4,zone-a,EX-201,0,0.52,0,0.04,0.9,27,-62,95,0.073,0.4,0,0.167,Normal
1171,2026-02-18T19:00:00.000Z,raniganj-south-slope,zone-d,TL-301,3.83,0.8,8.92,1.23,3.54,65,-61,82,1.064,0.136,2.49,0.703,Critical
1172,2026-02-18T20:00:00.000Z,korba-west-bench,zone-a,TL-301,0.54,0.21,0,0.18,0.81,27,-76,89,0.059,1.8,0.146,0.149,Normal
1173,2026-02-18T21:00:00.000Z,korba-west-bench,zone-d,EX-201,1.49,0.16,3.1,0.48,1.95,52,-75,68,0.093,0.15,0.775,0.233,Normal
1174,2026-02-18T22:00:00.000Z,raniganj-south-slope,zone-b,PZ-401,3.51,0.75,8.91,1.25,3.11,68,-69,79,1.013,0.139,2.387,0.649,Critical
1175,2026-02-18T23:00:00.000Z,singareni-s4,zone-b,EX-201,1.52,0.51,3.3,0.44,0.67,64,-63,61,0.275,0.129,0.973,0.355,Warning
1176,2026-02-19T00:00:00.000Z,jharia-open-pit,zone-d,PZ-401,3.7,0.82,7.65,1.32,3.77,68,-62,68,1.164,0.17,2.516,0.649,Critical
1177,2026-02-19T01:00:00.000Z,korba-west-bench,zone-c,SN-101,1.55,0.27,3.62,0.6,1.69,46,-66,67,0.189,0.161,0.713,0.352,Warning
1178,2026-02-19T02:00:00.000Z,korba-west-bench,zone-c,EX-201,0,0.19,2.11,0.05,0.86,34,-77,79,0.029,0.023,0,0.041,Normal
1179,2026-02-19T03:00:00.000Z,jharia-open-pit,zone-a,TL-301,2.01,0.49,3.68,0.78,1.06,51,-61,97,0.431,0.206,1.025,0.342,Warning
1180,2026-02-19T04:00:00.000Z,raniganj-south-slope,zone-d,SN-101,0.33,0.1,0,0.18,0.7,24,-79,92,0.028,1.8,0.079,0.1,Normal
1181,2026-02-19T05:00:00.000Z,korba-west-bench,zone-b,TL-301,0.42,0.17,1.03,0,1.02,12,-73,71,0.017,0,0.05,0.118,Normal
1182,2026-02-19T06:00:00.000Z,raniganj-south-slope,zone-d,SN-101,0,0.11,0.82,0,1.36,19,-76,87,0.011,0,0,0.051,Normal
1183,2026-02-19T07:00:00.000Z,singareni-s4,zone-a,PZ-401,0.3,0.12,0.51,0.04,0.3,21,-65,89,0.017,0.066,0.063,0.072,Normal
1184,2026-02-19T08:00:00.000Z,jharia-open-pit,zone-c,PZ-401,0.75,0.18,0.63,0.06,0,36,-66,71,0.029,0.082,0.27,0.112,Normal
1185,2026-02-19T09:00:00.000Z,raniganj-south-slope,zone-c,PZ-401,4.06,0.61,7.73,1.23,3.39,68,-72,75,0.811,0.157,2.761,0.655,Critical
1186,2026-02-19T10:00:00.000Z,singareni-s4,zone-b,PZ-401,1.65,0.19,2.64,0.13,2.01,49,-71,75,0.044,0.047,0.808,0.314,Warning
1187,2026-02-19T11:00:00.000Z,korba-west-bench,zone-d,SN-101,0.07,0,0,0,0.95,25,-71,74,0,0,0.018,0.061,Normal
1188,2026-02-19T12:00:00.000Z,korba-west-bench,zone-d,TL-301,0.92,0.05,0.11,0.07,1.21,19,-63,76,0.009,0.333,0.175,0.051,Normal
1189,2026-02-19T13:00:00.000Z,raniganj-south-slope,zone-a,SN-101,3.94,0.69,6.81,1.17,3.04,69,-84,90,0.876,0.169,2.719,0.619,Critical
1190,2026-02-19T14:00:00.000Z,jharia-open-pit,zone-a,SN-101,3.2,0.94,7.39,1.1,4.58,71,-75,91,1.128,0.147,2.272,0.67,Critical
1191,2026-02-19T15:00:00.000Z,jharia-open-pit,zone-d,PZ-401,0.66,0.12,0.42,0,0.63,18,-67,93,0.012,0,0.119,0.109,Normal
1192,2026-02-19T16:00:00.000Z,singareni-s4,zone-c,PZ-401,3.33,0.79,7.64,1.53,2.92,82,-77,74,1.288,0.198,2.731,0.621,Critical
1193,2026-02-19T17:00:00.000Z,raniganj-south-slope,zone-d,PZ-401,1.84,0.42,2.32,0.49,1.31,47,-65,100,0.248,0.202,0.865,0.273,Normal
1194,2026-02-19T18:00:00.000Z,raniganj-south-slope,zone-d,EX-201,0.4,0.21,1.31,0,1.94,40,-78,70,0.021,0,0.16,0.156,Normal
1195,2026-02-19T19:00:00.000Z,jharia-open-pit,zone-c,TL-301,1.13,0.07,0.48,0.06,0.23,18,-66,96,0.011,0.103,0.203,0.093,Normal
1196,2026-02-19T20:00:00.000Z,jharia-open-pit,zone-b,SN-101,0,0,0.88,0,0.91,30,-83,69,0,0,0,0.058,Normal
1197,2026-02-19T21:00:00.000Z,singareni-s4,zone-c,EX-201,0.13,0.12,0.76,0.1,0.54,21,-60,79,0.024,0.116,0.027,0.099,Normal
1198,2026-02-19T22:00:00.000Z,korba-west-bench,zone-b,SN-101,0.46,0,2.05,0.09,0.42,32,-78,65,0,0.042,0.147,0.095,Normal
1199,2026-02-19T23:00:00.000Z,singareni-s4,zone-b,TL-301,0.92,0.02,0.57,0.05,0.08,30,-83,64,0.003,0.075,0.276,0.103,Normal
1200,2026-02-20T00:00:00.000Z,jharia-open-pit,zone-c,PZ-401,0.73,0,0.49,0.18,1.26,19,-61,81,0,0.305,0.139,0.124,Normal
1201,2026-02-20T01:00:00.000Z,singareni-s4,zone-d,SN-101,0.37,0.17,0,0.12,0.58,26,-70,68,0.037,1.2,0.096,0.115,Normal
1202,2026-02-20T02:00:00.000Z,raniganj-south-slope,zone-c,SN-101,1.61,0.56,3.93,0.52,2.41,45,-73,95,0.347,0.129,0.725,0.344,Warning
1203,2026-02-20T03:00:00.000Z,singareni-s4,zone-a,TL-301,3.84,0.84,7.91,1.22,3.64,90,-76,96,1.109,0.152,3.456,0.767,Critical
1204,2026-02-20T04:00:00.000Z,korba-west-bench,zone-d,EX-201,0.82,0.04,2.87,0,0.82,45,-66,92,0.004,0,0.369,0.096,Normal
1205,2026-02-20T05:00:00.000Z,jharia-open-pit,zone-b,EX-201,0.15,0.08,1.13,0.08,0.87,29,-84,82,0.014,0.065,0.043,0.004,Normal
1206,2026-02-20T06:00:00.000Z,raniganj-south-slope,zone-a,TL-301,0.14,0.05,1.01,0.05,0.43,31,-80,66,0.008,0.045,0.043,-0.018,Normal
1207,2026-02-20T07:00:00.000Z,korba-west-bench,zone-c,TL-301,2.04,0.24,3.18,0.48,1.87,53,-60,94,0.139,0.146,1.081,0.338,Warning
1208,2026-02-20T08:00:00.000Z,korba-west-bench,zone-c,EX-201,0,0.17,1.89,0,1.53,23,-84,98,0.017,0,0,0.152,Normal
1209,2026-02-20T09:00:00.000Z,jharia-open-pit,zone-b,PZ-401,2,0.35,3.46,0.54,1.11,43,-61,62,0.224,0.152,0.86,0.249,Normal
1210,2026-02-20T10:00:00.000Z,raniganj-south-slope,zone-c,SN-101,3.49,0.62,7.56,1.25,3.44,70,-83,75,0.837,0.163,2.443,0.567,Critical
1211,2026-02-20T11:00:00.000Z,korba-west-bench,zone-a,TL-301,1.3,0.27,4.93,0.37,0.71,68,-77,97,0.127,0.074,0.884,0.304,Warning
1212,2026-02-20T12:00:00.000Z,raniganj-south-slope,zone-c,PZ-401,0,0.09,0.91,0.05,0.87,25,-66,79,0.014,0.05,0,0.016,Normal
1213,2026-02-20T13:00:00.000Z,raniganj-south-slope,zone-b,TL-301,1.56,0.24,2.74,0.62,1.65,54,-67,83,0.173,0.218,0.842,0.302,Warning
1214,2026-02-20T14:00:00.000Z,korba-west-bench,zone-d,TL-301,0.35,0.19,1.46,0.07,0.55,28,-60,77,0.032,0.045,0.098,0.08,Normal
1215,2026-02-20T15:00:00.000Z,korba-west-bench,zone-a,PZ-401,1.68,0.36,4.05,0.6,1.49,56,-76,92,0.252,0.145,0.941,0.347,Warning
1216,2026-02-20T16:00:00.000Z,jharia-open-pit,zone-c,SN-101,1.35,0.21,3.08,0.47,2.8,48,-66,87,0.12,0.148,0.648,0.297,Normal
1217,2026-02-20T17:00:00.000Z,raniganj-south-slope,zone-a,TL-301,0.49,0,0,0.27,0.92,25,-71,77,0,2.7,0.122,0.102,Normal
1218,2026-02-20T18:00:00.000Z,korba-west-bench,zone-b,PZ-401,0.69,0,1.38,0.22,1.55,25,-77,89,0,0.149,0.172,0.185,Normal
1219,2026-02-20T19:00:00.000Z,raniganj-south-slope,zone-a,SN-101,2.15,0.37,2.52,0.79,1.46,52,-81,81,0.329,0.302,1.118,0.34,Warning
1220,2026-02-20T20:00:00.000Z,singareni-s4,zone-a,SN-101,0.6,0.13,1.8,0,0,23,-72,70,0.013,0,0.138,0.1,Normal
1221,2026-02-20T21:00:00.000Z,singareni-s4,zone-c,EX-201,0.58,0,0.61,0.11,1.22,28,-82,91,0,0.155,0.162,0.071,Normal
1222,2026-02-20T22:00:00.000Z,raniganj-south-slope,zone-d,EX-201,0,0.14,1.44,0,0,10,-66,61,0.014,0,0,0.088,Normal
1223,2026-02-20T23:00:00.000Z,singareni-s4,zone-b,PZ-401,0,0.11,0.17,0.4,0.42,14,-82,76,0.055,1.481,0,0.135,Normal
1224,2026-02-21T00:00:00.000Z,jharia-open-pit,zone-c,SN-101,0.66,0,3.2,0,1.08,22,-78,64,0,0,0.145,0.105,Normal
1225,2026-02-21T01:00:00.000Z,jharia-open-pit,zone-d,TL-301,3.62,0.75,7.48,1.23,2.54,62,-85,74,0.998,0.162,2.244,0.616,Critical
1226,2026-02-21T02:00:00.000Z,korba-west-bench,zone-d,TL-301,0.66,0.1,0.95,0.38,1.14,27,-73,62,0.048,0.362,0.178,0.145,Normal
1227,2026-02-21T03:00:00.000Z,singareni-s4,zone-d,PZ-401,2.84,0.3,2.04,0.37,1.08,61,-74,71,0.141,0.173,1.732,0.322,Warning
1228,2026-02-21T04:00:00.000Z,jharia-open-pit,zone-c,TL-301,4.33,0.86,7.34,1.35,3.72,63,-79,81,1.247,0.181,2.728,0.758,Critical
1229,2026-02-21T05:00:00.000Z,jharia-open-pit,zone-b,PZ-401,0.44,0.24,0.82,0,0.96,17,-70,95,0.024,0,0.075,0.033,Normal
1230,2026-02-21T06:00:00.000Z,korba-west-bench,zone-d,EX-201,3.1,0.85,6.85,1.58,3.82,74,-76,66,1.428,0.227,2.294,0.582,Critical
1231,2026-02-21T07:00:00.000Z,korba-west-bench,zone-d,TL-301,2.89,0.71,7.74,1.2,3.05,77,-64,72,0.923,0.153,2.225,0.572,Critical
1232,2026-02-21T08:00:00.000Z,jharia-open-pit,zone-b,TL-301,0.26,0.18,1.46,0.08,0.34,39,-66,74,0.032,0.051,0.101,0.064,Normal
1233,2026-02-21T09:00:00.000Z,korba-west-bench,zone-a,TL-301,0.3,0.14,2.14,0.35,1.22,23,-72,62,0.063,0.156,0.069,0.09,Normal
1234,2026-02-21T10:00:00.000Z,jharia-open-pit,zone-b,TL-301,0.67,0.07,1.92,0.19,0,14,-80,76,0.02,0.094,0.094,0.145,Normal
1235,2026-02-21T11:00:00.000Z,singareni-s4,zone-a,TL-301,3.48,0.79,7.92,1.4,2.71,58,-71,97,1.185,0.175,2.018,0.618,Critical
1236,2026-02-21T12:00:00.000Z,jharia-open-pit,zone-b,TL-301,1.15,0.47,2.36,0.26,2.5,56,-73,89,0.169,0.106,0.644,0.333,Warning
1237,2026-02-21T13:00:00.000Z,singareni-s4,zone-b,TL-301,0.56,0,0,0.24,0.74,19,-69,61,0,2.4,0.106,0.011,Normal
1238,2026-02-21T14:00:00.000Z,raniganj-south-slope,zone-b,PZ-401,4.2,0.74,6.31,1.25,3.29,72,-72,94,0.999,0.195,3.024,0.668,Critical
1239,2026-02-21T15:00:00.000Z,raniganj-south-slope,zone-d,TL-301,0.8,0.05,0,0.41,1.87,18,-75,87,0.026,4.1,0.144,0.107,Normal
1240,2026-02-21T16:00:00.000Z,singareni-s4,zone-c,EX-201,0.33,0.11,1.07,0.24,0.4,29,-63,98,0.037,0.205,0.096,0.035,Normal
1241,2026-02-21T17:00:00.000Z,korba-west-bench,zone-b,EX-201,3.09,1.06,6.95,1.01,3.95,64,-81,87,1.177,0.143,1.978,0.609,Critical
1242,2026-02-21T18:00:00.000Z,singareni-s4,zone-c,EX-201,1.51,0.28,5.95,0.39,1.27,39,-65,67,0.137,0.064,0.589,0.256,Normal
1243,2026-02-21T19:00:00.000Z,singareni-s4,zone-c,EX-201,1.26,0.3,1.92,0.45,1.95,50,-81,85,0.165,0.223,0.63,0.257,Normal
1244,2026-02-21T20:00:00.000Z,raniganj-south-slope,zone-c,PZ-401,1.17,0.04,1.13,0.11,0.74,28,-75,72,0.008,0.089,0.328,0.137,Normal
1245,2026-02-21T21:00:00.000Z,korba-west-bench,zone-a,PZ-401,0.1,0.05,1.74,0,0.03,29,-69,80,0.005,0,0.029,0.057,Normal
1246,2026-02-21T22:00:00.000Z,raniganj-south-slope,zone-b,TL-301,4.19,0.83,8.44,1.02,3.57,82,-68,97,0.93,0.119,3.436,0.731,Critical
1247,2026-02-21T23:00:00.000Z,jharia-open-pit,zone-a,SN-101,3.73,0.75,5.93,1.23,3.93,73,-66,72,0.998,0.204,2.723,0.593,Critical
1248,2026-02-22T00:00:00.000Z,korba-west-bench,zone-c,PZ-401,1.72,0.23,3.47,0.51,2.74,56,-61,81,0.14,0.143,0.963,0.372,Warning
1249,2026-02-22T01:00:00.000Z,jharia-open-pit,zone-b,EX-201,0,0.14,0,0,0.8,16,-64,87,0.014,0,0,0.084,Normal
1250,2026-02-22T02:00:00.000Z,singareni-s4,zone-b,PZ-401,1.87,0.46,4.02,0.37,1.81,38,-81,82,0.216,0.09,0.711,0.276,Normal
1251,2026-02-22T03:00:00.000Z,singareni-s4,zone-b,EX-201,3.44,0.88,6.43,1.18,2.95,78,-68,64,1.126,0.181,2.683,0.647,Critical
1252,2026-02-22T04:00:00.000Z,jharia-open-pit,zone-c,EX-201,1.51,0.36,3.23,0.23,2.24,61,-68,63,0.119,0.069,0.921,0.308,Warning
1253,2026-02-22T05:00:00.000Z,singareni-s4,zone-b,EX-201,0.79,0.23,0.16,0,1.15,19,-79,76,0.023,0,0.15,0.129,Normal
1254,2026-02-22T06:00:00.000Z,korba-west-bench,zone-c,TL-301,1.87,0.25,2.52,0.47,1.31,42,-67,88,0.142,0.179,0.785,0.187,Normal
